,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,cidade,data_scraping
0,180,"Rua Senador Euzebio, 6 - Flamengo, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 3.750 /mês,R$ 1.650,"Aceita animais
Ar-condicionado
Espaço gourmet
Elevador
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
1,105,"Rua São Clemente, 117 - Botafogo, Rio de Janeiro - RJ",3 Quartos,3 Banheiros,2 Vagas,R$ 3.500 /mês,R$ 2.480,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",Rio de Janeiro,"September 20, 2021 16:22"
2,80,"Rua Pereira da Silva, 444 - Laranjeiras, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 2.000 /mês,R$ 762,"Playground
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
3,58,"Rua Carvalho Alvim, 654 - Tijuca, Rio de Janeiro - RJ",2 Quartos,3 Banheiros,1 Vaga,R$ 1.800 /mês,R$ 912,"Churrasqueira
Piscina
Playground
Salão de festas
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
4,70,"Rua Tirol, 962 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 1.400 /mês,R$ 900,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",Rio de Janeiro,"September 20, 2021 16:22"
5,62,"Rua Paissandu, 179 - Flamengo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,-- Vaga,R$ 2.000 /mês,R$ 864,"Elevador
Aceita animais
Jardim
Playground
Salão de festas
...",Rio de Janeiro,"September 20, 2021 16:22"
6,40,"Avenida Nossa Senhora de Copacabana, 1004 - Copacabana, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.499 /mês,R$ 400,"Ar-condicionado
Cozinha americana
Mobiliado
Elevador
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
7,50,"Rua Assis Bueno, 46 - Botafogo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 1.950 /mês,R$ 974,"Piscina
Elevador
Academia
Aceita animais
Bicicletário
...",Rio de Janeiro,"September 20, 2021 16:22"
8,114,"Rua Engenheiro Cortes Sigaud, 191 - Leblon, Rio de Janeiro - RJ",3 Quartos,3 Banheiros,1 Vaga,R$ 5.600 /mês,R$ 2.080,"Elevador
Aceita animais
Ar-condicionado
Salão de festas
Closet
...",Rio de Janeiro,"September 20, 2021 16:22"
9,36,"Rua do Bispo, 265 - Tijuca, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.000 /mês,R$ 540,"Aceita animais
Elevador
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
10,64,"Rua Sorocaba, 231 - Botafogo, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 3.100 /mês,R$ 800,"Piscina
Churrasqueira
Academia
Aceita animais
Espaço gourmet
...",Rio de Janeiro,"September 20, 2021 16:22"
11,32,"Estrada do Rio Grande, 407 - Taquara, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,1 Vaga,R$ 790 /mês,,"Aceita animais
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
12,50,"Rua Visconde de Pirajá, 571 - Ipanema, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.850 /mês,R$ 613,"Ar-condicionado
Aceita animais
Elevador
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
13,70,"Rua Tomás Lopes, 739 - Penha Circular, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 1.000 /mês,R$ 303,"Aceita animais
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
14,80,"Avenida General San Martin, 900 - Leblon, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 1.445,"Elevador
Aceita animais
Ar-condicionado
Portaria 24h
Acesso para deficientes
...",Rio de Janeiro,"September 20, 2021 16:22"
15,84,"Rua Figueiredo Magalhães, 848 - Copacabana, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,-- Vaga,R$ 2.550 /mês,R$ 780,"Elevador
Condomínio fechado
Aceita animais
Ar-condicionado
Bicicletário
...",Rio de Janeiro,"September 20, 2021 16:22"
16,32,"Rua Haddock Lobo, 11 - Estacio, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 700 /mês,R$ 334,,Rio de Janeiro,"September 20, 2021 16:22"
17,77,"Rua Prudente de Morais, 368 - Ipanema, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 4.800 /mês,R$ 1.880,"Piscina
Mobiliado
Elevador
Academia
Ar-condicionado
...",Rio de Janeiro,"September 20, 2021 16:22"
18,30,"Avenida Nossa Senhora de Copacabana, 1045 - Copacabana, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.500 /mês,R$ 590,"Aceita animais
Elevador
Condomínio fechado
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
19,70,"Avenida São Josemaria Escrivá, 560 - Itanhangá, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,1 Vaga,R$ 1.100 /mês,R$ 650,"Piscina
Elevador
Condomínio fechado
Aceita animais
Jardim
...",Rio de Janeiro,"September 20, 2021 16:22"
20,73,"Rua Marechal Pires Ferreira, 10 - Cosme Velho, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,1 Vaga,R$ 2.750 /mês,R$ 673,"Elevador
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...",Rio de Janeiro,"September 20, 2021 16:22"
21,45,"Rua Leopoldo Miguez, 174 - Copacabana, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,-- Vaga,R$ 1.300 /mês,R$ 970,"Elevador
Condomínio fechado
Portaria 24h
Portão eletrônico",Rio de Janeiro,"September 20, 2021 16:22"
22,180,"Rua Almirante Tamandaré, 36 - Flamengo, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 1.750,"Condomínio fechado
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
23,239,"Rua Joaquim Nabuco, 266 - Ipanema, Rio de Janeiro - RJ",3 Quartos,5 Banheiros,3 Vagas,R$ 22.900 /mês,R$ 3.465,"Mobiliado
Elevador
Aceita animais
Ar-condicionado
Portaria 24h
...",Rio de Janeiro,"September 20, 2021 16:22"
24,65,"Rua Sá Ferreira, 127 - Copacabana, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 1.650 /mês,R$ 1.200,"Elevador
Bicicletário
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
25,70,"Avenida das Américas, 17450 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,2 Vagas,R$ 2.100 /mês,R$ 865,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",Rio de Janeiro,"September 20, 2021 16:22"
26,44,"Rua Visconde de Pirajá, 247 - Ipanema, Rio de Janeiro - RJ",1 Quarto,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 1.000,"Ar-condicionado
Elevador",Rio de Janeiro,"September 20, 2021 16:22"
27,108,"Avenida Oswaldo Cruz, 99 - Flamengo, Rio de Janeiro - RJ",2 Quartos,3 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 739,"Ar-condicionado
Playground
Salão de festas
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
28,70,"Avenida Nossa Senhora de Copacabana, 249 - Copacabana, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 737,"Elevador
Condomínio fechado
Aceita animais
Ar-condicionado
Salão de festas
...",Rio de Janeiro,"September 20, 2021 16:22"
29,131,"Rua das Laranjeiras, 91 - Laranjeiras, Rio de Janeiro - RJ",3 Quartos,3 Banheiros,1 Vaga,R$ 3.900 /mês,R$ 1.045,"Elevador
Condomínio fechado
Aceita animais
Ar-condicionado
Playground
...",Rio de Janeiro,"September 20, 2021 16:22"
30,170,"Rua Raimundo Correia - Copacabana, Rio de Janeiro - RJ",4 Quartos,4 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 3.165,"Ar-condicionado
Closet
Elevador
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
31,140,"Rua Conselheiro Lafaiete, 32 - Copacabana, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,-- Vaga,R$ 3.500 /mês,R$ 1.200,"Aceita animais
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
32,75,"Rua Barão de Itapagipe, 452 - Tijuca, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 1.750 /mês,R$ 888,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",Rio de Janeiro,"September 20, 2021 16:22"
33,85,"Rua Frederico Quartarolli, 43 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",3 Quartos,2 Banheiros,1 Vaga,R$ 4.000 /mês,R$ 555,"Mobiliado
Elevador
Condomínio fechado
Varanda
Academia
...",Rio de Janeiro,"September 20, 2021 16:22"
34,70,"Rua Siqueira Campos, 170 - Copacabana, Rio de Janeiro - RJ",2 Quartos,2 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 895,"Acesso para deficientes
Elevador
Portão eletrônico
Portaria 24h",Rio de Janeiro,"September 20, 2021 16:22"
35,67,"Rua Paula Matos, 52 - Santa Teresa, Rio de Janeiro - RJ",2 Quartos,1 Banheiro,-- Vaga,R$ 1.500 /mês,R$ 460,Aceita animais,Rio de Janeiro,"September 20, 2021 16:22"
36,170,"Rua Cayowaá, 425 - Perdizes, São Paulo - SP",4 Quartos,5 Banheiros,3 Vagas,R$ 9.500 /mês,R$ 2.200,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
37,65,"Rua Caiubi, 1322 - Perdizes, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 800,"Salão de festas
Piscina
Bicicletário
Elevador
Portão eletrônico",São Paulo,"September 20, 2021 16:22"
38,70,"Rua Álvaro de Carvalho, 134 - Centro, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 780,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
39,56,"Rua Jaraguá, 737 - Bom Retiro, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.400 /mês,R$ 430,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...",São Paulo,"September 20, 2021 16:22"
40,65,"Rua Piracuama, 417 - Perdizes, São Paulo - SP",2 Quartos,1 Banheiro,2 Vagas,R$ 1.700 /mês,R$ 800,"Piscina
Elevador
Aceita animais
Jardim
Salão de festas
...",São Paulo,"September 20, 2021 16:22"
41,46,"Avenida Jandira, 268 - Moema, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.400 /mês,R$ 600,"Piscina
Churrasqueira
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:22"
42,60,"Rua Joseph Nigri - Jardim das Perdizes, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.700 /mês,R$ 800,"Piscina
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...",São Paulo,"September 20, 2021 16:22"
43,240,"Rua Verbo Divino, 1061 - Chácara Santo Antônio, São Paulo - SP",5 Quartos,5 Banheiros,4 Vagas,R$ 15.000 /mês,R$ 3.300,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
44,57,"Rua Domingos Paiva, 152 - Brás, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 597,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
45,92,"Rua Marquês de Valença, 369 - Alto da Mooca, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 3.200 /mês,R$ 815,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
46,205,"Rua Tabapuã, 245 - Itaim Bibi, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 7.900 /mês,R$ 2.380,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:22"
47,56,"Rua Joaquim Távora - Vila Mariana, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 630,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:22"
48,45,"Alameda Jauaperi, 1123 - Moema, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.800 /mês,R$ 612,"Elevador
Condomínio fechado
Aceita animais
Jardim
Bicicletário
...",São Paulo,"September 20, 2021 16:22"
49,40,"Rua Padre Carvalho, 348 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 4.500 /mês,R$ 950,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
50,64,"Rua Marquês de Lages - Vila Moraes, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.300 /mês,R$ 650,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
51,57,"Rua Gravataí, 118 - Consolação, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 767,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 16:22"
52,95,"Rua Cayowaá, 1366 - Perdizes, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 839,"Elevador
Aceita animais
Jardim
Salão de festas
Bicicletário
...",São Paulo,"September 20, 2021 16:22"
53,39,"Rua José Getúlio, 109 - Liberdade, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.800 /mês,R$ 470,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
54,65,"Rua Rui de Morais Apocalipse, 326 - Jardim Do Tiro, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 300,"Churrasqueira
Condomínio fechado
Academia
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 16:22"
55,80,"Rua General Chagas Santos, 197 - Saúde, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 1.880 /mês,R$ 950,"Churrasqueira
Elevador
Academia
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 16:22"
56,79,"Rua Fortunato Ferraz, 210 - Vila Anastácio, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 4.800 /mês,R$ 670,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
57,49,"Rua Gabriele D'Annunzio, 624 - Campo Belo, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.600 /mês,R$ 657,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
58,96,"Rua Jorge Americano, 310 - Alto da Lapa, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 4.000 /mês,R$ 1.065,"Piscina
Mobiliado
Churrasqueira
Elevador
Aceita animais
...",São Paulo,"September 20, 2021 16:22"
59,48,"Rua Baronesa de Bela Vista, 577 - Vila Congonhas, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.700 /mês,R$ 392,"Aceita animais
Salão de festas
Elevador
Portaria 24h",São Paulo,"September 20, 2021 16:22"
60,66,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 3.700 /mês,R$ 800,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
61,38,"Rua Marselhesa, 29 - Vila Mariana, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.900 /mês,R$ 640,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
62,59,"Rua Luís Cunha, 285 - Vila Pirituba, São Paulo - SP",2 Quartos,1 Banheiro,2 Vagas,R$ 1.350 /mês,R$ 596,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
63,100,"Avenida dos Imarés, 557 - Indianópolis, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,R$ 3.950 /mês,R$ 1.200,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
64,208,"Rua Professor Alexandre Correia, 169 - Jardim Vitoria Regia, São Paulo - SP",4 Quartos,3 Banheiros,4 Vagas,R$ 2.800 /mês,R$ 3.200,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
65,20,"Rua Pereira do Lago, 309 - Vila Gomes, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 890 /mês,,"Mobiliado
Condomínio fechado",São Paulo,"September 20, 2021 16:22"
66,50,"Rua da Consolação, 1131 - Consolação, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.950 /mês,R$ 650,"Elevador
Bicicletário
Portaria 24h
Portão eletrônico
Condomínio fechado",São Paulo,"September 20, 2021 16:22"
67,70,"Avenida Marechal Mário Guedes, 02 - Jaguaré, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 2.300 /mês,R$ 700,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
68,100,"Rua Alonso Calhamares, 244 - Jardim Anália Franco, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 6.390 /mês,R$ 1.040,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
69,37,"Rua Vilela, 1042 - Tatuapé, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.750 /mês,R$ 528,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
70,52,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 457,"Piscina
Churrasqueira
Academia
Espaço gourmet
Ar-condicionado
...",São Paulo,"September 20, 2021 16:22"
71,110,"Rua Cristiano Viana - Cerqueira César, São Paulo - SP",3 Quartos,3 Banheiros,-- Vaga,R$ 3.300 /mês,R$ 1.530,"Cozinha americana
Portaria 24h",São Paulo,"September 20, 2021 16:22"
72,111,"Rua Cônego Eugênio Leite, 574 - Cerqueira César, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 3.650 /mês,R$ 1.699,"Aceita animais
Closet
Bicicletário
Portaria 24h",São Paulo,"September 20, 2021 16:22"
73,59,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.300 /mês,,"Piscina
Churrasqueira
Condomínio fechado
Aceita animais
Playground
...",São Paulo,"September 20, 2021 16:22"
74,40,"Alameda Franca, 318 - Jardim Paulista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 934,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...",São Paulo,"September 20, 2021 16:22"
75,60,"Rua Paris - Sumaré, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 4.150 /mês,R$ 850,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
76,100,"Rua Professor Vahia de Abreu, 383 - Vila Olímpia, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 6.500 /mês,R$ 1.020,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
77,105,"Rua Chamantá, 219 - Parque da Mooca, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 500,Aceita animais,São Paulo,"September 20, 2021 16:22"
78,64,"Rua Correia de Lemos, 645 - Chácara Inglesa, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 730,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
79,32,"Rua Coronel Luís Barroso, 392 - Santo Amaro, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 670,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
80,48,"Rua Cardoso de Almeida - Perdizes, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 3.200 /mês,R$ 477,"Aceita animais
Ar-condicionado
Cozinha americana
Mobiliado
Elevador",São Paulo,"September 20, 2021 16:22"
81,37,"Rua Major Sertório, 321 - Centro, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 380,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
82,70,"Rua Vupabussu, 219 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,2 Vagas,R$ 5.100 /mês,R$ 1.774,"Piscina
Elevador
Condomínio fechado
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 16:22"
83,50,"Rua Conselheiro Brotero, 867 - Santa Cecília, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 760,"Elevador
Aceita animais
Jardim
Portaria 24h
Cozinha americana
...",São Paulo,"September 20, 2021 16:22"
84,111,"Rua Pamplona, 237 - Jardim Paulista, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 4.750 /mês,R$ 1.015,"Churrasqueira
Elevador
Academia
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 16:22"
85,90,"Avenida Santo Amaro, 345 - Vila Nova Conceição, São Paulo - SP",2 Quartos,2 Banheiros,-- Vaga,R$ 1.350 /mês,R$ 230,Aceita animais,São Paulo,"September 20, 2021 16:22"
86,48,"Rua Joaquim Ferreira, 124 - Água Branca, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.400 /mês,R$ 623,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
87,72,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Butantã, São Paulo - SP",3 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 618,"Churrasqueira
Elevador
Condomínio fechado
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 16:22"
88,26,"Rua Engenheiro Bianor, 137 - Butantã, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 2.500 /mês,R$ 350,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:22"
89,80,"Rua Henrique Sertório, 34 - Tatuapé, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 1.390 /mês,R$ 280,,São Paulo,"September 20, 2021 16:22"
90,45,"Rua Cardeal Arcoverde, 448 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 300,"Aceita animais
Portão eletrônico",São Paulo,"September 20, 2021 16:22"
91,130,"Rua do Paraíso - Vila Mariana, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.225 /mês,R$ 605,"Elevador
Condomínio fechado
Aceita animais
Jardim
Área de serviço
...",São Paulo,"September 20, 2021 16:22"
92,70,"Rua Joaquim Guarani, 485 - Jardim das Acacias, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 4.000 /mês,R$ 650,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
93,100,"Rua Doutor Eduardo de Souza Aranha, 140 - Vila Nova Conceição, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 8.500 /mês,R$ 600,"Aceita animais
Closet
Mobiliado
Portaria 24h",São Paulo,"September 20, 2021 16:22"
94,69,"Rua Geraldo de Mendonça Mello, 280 - Vila Isa, São Paulo - SP",3 Quartos,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 460,"Churrasqueira
Elevador
Condomínio fechado
Jardim
Playground
...",São Paulo,"September 20, 2021 16:22"
95,54,"Rua Doutor Ivo Define Frasca - Vila Olímpia, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 3.450 /mês,R$ 661,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:22"
96,30,"Praça Ministro Costa Manso, 30 - Liberdade, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 500 /mês,R$ 360,"Aceita animais
Bicicletário
Elevador
Portaria 24h
Condomínio fechado",São Paulo,"September 20, 2021 16:22"
97,33,"Rua Cônego Vicente Miguel Marino, 29 - Barra Funda, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 250,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:22"
98,75,"Rua Canário, 943 - Moema, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,R$ 6.000 /mês,R$ 885,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
99,100,"Rua Caraíbas, 980 - Perdizes, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 3.900 /mês,R$ 1.235,"Piscina
Elevador
Condomínio fechado
Academia
Jardim
...",São Paulo,"September 20, 2021 16:22"
100,63,"Rua Francisco Hurtado, 55 - Vila Água Funda, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 1.650 /mês,R$ 562,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
101,51,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 2.700 /mês,R$ 600,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
102,55,"Rua Comendador Gabriel Cotti, 113 - Vila Pereira Barreto, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.600 /mês,R$ 490,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:22"
103,97,"Rua Sara Bernhard, 355 - Vila Cláudia, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 1.600 /mês,R$ 590,"Condomínio fechado
Academia
Aceita animais
Playground
Salão de festas
...",São Paulo,"September 20, 2021 16:22"
104,78,"Rua João Moura, 2311 - Vila Madalena, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.450 /mês,R$ 795,"Piso laminado
Portaria 24h",São Paulo,"September 20, 2021 16:22"
